Ncpu,Nsim,Nchunk,Lpt,Tsim
32,5,65536,10000,79.96
32,5,131072,10000,80.91
32,5,262144,10000,78.86
32,5,256,100000,81.18
32,5,1024,100000,80.15
32,5,4096,100000,80
32,5,16384,100000,80.69
32,5,32768,100000,79.53
32,5,65536,100000,79.74
32,5,131072,100000,79.39
32,5,262144,100000,80.11
32,5,256,200000,81.07
32,5,1024,200000,81.93
32,5,4096,200000,81.67
32,5,16384,200000,81.97
32,5,32768,200000,81.47
32,5,65536,200000,81.33
32,5,131072,200000,81.49
32,5,262144,200000,81.6
32,5,256,300000,83.3
32,5,1024,300000,82.32
32,5,4096,300000,82.2
32,5,16384,300000,82.11
32,5,32768,300000,81.63
32,5,65536,300000,81.52
32,5,131072,300000,81.52
32,5,262144,300000,81.71
32,5,256,400000,83.51
32,5,1024,400000,83.66
32,5,4096,400000,84.43
32,5,16384,400000,83.56
32,5,32768,400000,82.95
32,5,65536,400000,82.09
32,5,131072,400000,83.06
32,5,262144,400000,81.85
32,5,256,500000,84.76
32,5,1024,500000,85.04
32,5,4096,500000,84.49
32,5,16384,500000,84.04
32,5,32768,500000,84.67
32,5,65536,500000,84.09
32,5,131072,500000,83.48
32,5,262144,500000,83.76
64,1,256,1000,36.34
64,1,1024,1000,35.24
64,1,4096,1000,34.99
64,1,16384,1000,34.94
64,1,32768,1000,34.2
64,1,65536,1000,34.39
64,1,130672,1000,32.04
64,1,261344,1000,34.71
64,1,256,10000,35.63
64,1,1024,10000,34.35
64,1,4096,10000,34.6
64,1,16384,10000,32.48
64,1,32768,10000,32.29
64,1,65536,10000,31.51
64,1,130672,10000,33.61
64,1,261344,10000,33.01
64,1,256,100000,44.15
64,1,1024,100000,37.63
64,1,4096,100000,33.8
64,1,16384,100000,34.92
64,1,32768,100000,33.57
64,1,65536,100000,32.71
64,1,130672,100000,31.7
64,1,261344,100000,32.91
64,1,256,200000,56.04
64,1,1024,200000,46.09
64,1,4096,200000,41.18
64,1,16384,200000,38.85
64,1,32768,200000,38.71
64,1,65536,200000,38.64
64,1,130672,200000,38.78
64,1,261344,200000,38.67
64,1,256,300000,71.91
64,1,1024,300000,63.06
64,1,4096,300000,59.57
64,1,16384,300000,58.11
64,1,32768,300000,57.6
64,1,65536,300000,57.63
64,1,130672,300000,57.62
64,1,261344,300000,57.64
64,1,256,400000,85.11
64,1,1024,400000,77.46
64,1,4096,400000,73.69
64,1,16384,400000,73.09
64,1,32768,400000,73.45
64,1,65536,400000,73.21
64,1,130672,400000,73.11
64,1,261344,400000,73.28
64,1,256,500000,101.71
64,1,1024,500000,93.79
64,1,4096,500000,91.59
64,1,16384,500000,91.13
64,1,32768,500000,91.08
64,1,65536,500000,90.95
64,1,130672,500000,91.06
64,1,261344,500000,91.11
64,2,256,1000,36.23
64,2,1024,1000,35.6
64,2,4096,1000,35.6
64,2,16384,1000,34.01
64,2,32768,1000,35.13
64,2,65536,1000,35.2
64,2,130672,1000,35.8
64,2,261344,1000,34.67
64,2,256,10000,35.21
64,2,1024,10000,34.92
64,2,4096,10000,34.7
64,2,16384,10000,34.65
64,2,32768,10000,33.94
64,2,65536,10000,34.57
64,2,130672,10000,34.56
64,2,261344,10000,34.63
64,2,256,100000,37.6
64,2,1024,100000,36.08
64,2,4096,100000,34.78
64,2,16384,100000,34.86
64,2,32768,100000,33.41
64,2,65536,100000,34.58
64,2,130672,100000,34.39
64,2,261344,100000,34.34
64,2,256,200000,41.53
64,2,1024,200000,37.34
64,2,4096,200000,35.45
64,2,16384,200000,33.73
64,2,32768,200000,34.96
64,2,65536,200000,34.39
64,2,130672,200000,34.85
64,2,261344,200000,34.85
64,2,256,300000,47.13
64,2,1024,300000,39.69
64,2,4096,300000,36.84
64,2,16384,300000,35.94
64,2,32768,300000,35.35
64,2,65536,300000,35.37
64,2,130672,300000,35.67
64,2,261344,300000,35.52
64,2,256,400000,52.5
64,2,1024,400000,45.51
64,2,4096,400000,38.63
64,2,16384,400000,37.36
64,2,32768,400000,37.85
64,2,65536,400000,37.67
64,2,130672,400000,37.47
64,2,261344,400000,37.11
64,2,256,500000,59.83
64,2,1024,500000,49.89
64,2,4096,500000,47.14
64,2,16384,500000,46.37
64,2,32768,500000,47.96
64,2,65536,500000,48.51
64,2,130672,500000,49.26
64,2,261344,500000,46.42
64,3,256,1000,36.71
64,3,1024,1000,35.59
64,3,4096,1000,35.71
64,3,16384,1000,35.92
64,3,32768,1000,35.98
64,3,65536,1000,36.11
64,3,130672,1000,35.95
64,3,261344,1000,35.92
64,3,256,10000,35.89
64,3,1024,10000,36.4
64,3,4096,10000,35.54
64,3,16384,10000,35.36
64,3,32768,10000,35.01
64,3,65536,10000,35.83
64,3,130672,10000,34.94
64,3,261344,10000,35.4
64,3,256,100000,36.03
64,3,1024,100000,35.35
64,3,4096,100000,35.95
64,3,16384,100000,36.04
64,3,32768,100000,35.35
64,3,65536,100000,34.38
64,3,130672,100000,35.13
64,3,261344,100000,34.93
64,3,256,200000,41.64
64,3,1024,200000,36.41
64,3,4096,200000,36.57
64,3,16384,200000,35.93
64,3,32768,200000,34.81
64,3,65536,200000,35.34
64,3,130672,200000,35.51
64,3,261344,200000,35.37
64,3,256,300000,41.64
64,3,1024,300000,39.11
64,3,4096,300000,37.31
64,3,16384,300000,37.03
64,3,32768,300000,35.54
64,3,65536,300000,35.02
64,3,130672,300000,35.94
64,3,261344,300000,34.92
64,3,256,400000,42.75
64,3,1024,400000,39.92
64,3,4096,400000,37.29
64,3,16384,400000,36.36
64,3,32768,400000,36.49
64,3,65536,400000,35.76
64,3,130672,400000,36.59
64,3,261344,400000,36.55
64,3,256,500000,46.47
64,3,1024,500000,40.19
64,3,4096,500000,37.82
64,3,16384,500000,37
64,3,32768,500000,36.04
64,3,65536,500000,36.12
64,3,130672,500000,35.98
64,3,261344,500000,37.04
64,4,256,1000,36.5
64,4,1024,1000,36.44
64,4,4096,1000,36.74
64,4,16384,1000,36.55
64,4,32768,1000,36.62
64,4,65536,1000,36.54
64,4,130672,1000,35.9
64,4,261344,1000,36.63
64,4,256,10000,36.29
64,4,1024,10000,35.92
64,4,4096,10000,36.89
64,4,16384,10000,36.11
64,4,32768,10000,36.42
64,4,65536,10000,35.9
64,4,130672,10000,36
64,4,261344,10000,35.88
64,4,256,100000,36.46
64,4,1024,100000,36.49
64,4,4096,100000,36.48
64,4,16384,100000,36.43
64,4,32768,100000,36.18
64,4,65536,100000,35.34
64,4,130672,100000,35.53
64,4,261344,100000,35.41
64,4,256,200000,37.57
64,4,1024,200000,36.98
64,4,4096,200000,36.49
64,4,16384,200000,36.64
64,4,32768,200000,35.96
64,4,65536,200000,36.11
64,4,130672,200000,36.19
64,4,261344,200000,36.17
64,4,256,300000,38.8
64,4,1024,300000,38.14
64,4,4096,300000,37.32
64,4,16384,300000,36.99
64,4,32768,300000,36.44
64,4,65536,300000,36.63
64,4,130672,300000,36.66
64,4,261344,300000,36.43
64,4,256,400000,40.59
64,4,1024,400000,38.78
64,4,4096,400000,37.81
64,4,16384,400000,37.01
64,4,32768,400000,36.95
64,4,65536,400000,37.02
64,4,130672,400000,36.98
64,4,261344,400000,36.97
64,4,256,500000,42.95
64,4,1024,500000,39.15
64,4,4096,500000,38.09
64,4,16384,500000,37.16
64,4,32768,500000,37.68
64,4,65536,500000,37.52
64,4,130672,500000,37.2
64,4,261344,500000,37.67
64,5,256,1000,38.41
64,5,1024,1000,37.46
64,5,4096,1000,39.37
64,5,16384,1000,38.14
64,5,32768,1000,37.05
64,5,65536,1000,37.2
64,5,130672,1000,37.19
64,5,261344,1000,37.15
64,5,256,10000,37.04
64,5,1024,10000,36.56
64,5,4096,10000,36.66
64,5,16384,10000,37.21
64,5,32768,10000,36.65
64,5,65536,10000,36.72
64,5,130672,10000,36.59
64,5,261344,10000,36.7
64,5,256,100000,36.9
64,5,1024,100000,37.07
64,5,4096,100000,37.51
64,5,16384,100000,36.97
64,5,32768,100000,36.59
64,5,65536,100000,36.04
64,5,130672,100000,36.25
64,5,261344,100000,36.25
64,5,256,200000,37.68
64,5,1024,200000,37.54
64,5,4096,200000,37.23
64,5,16384,200000,37.21
64,5,32768,200000,36.78
64,5,65536,200000,36.74
64,5,130672,200000,36.89
64,5,261344,200000,36.71
64,5,256,300000,38.94
64,5,1024,300000,37.96
64,5,4096,300000,38.51
64,5,16384,300000,37.71
64,5,32768,300000,37.1
64,5,65536,300000,37.26
64,5,130672,300000,37.33
64,5,261344,300000,37.15
64,5,256,400000,39.3
64,5,1024,400000,38.36
64,5,4096,400000,38.81
64,5,16384,400000,37.74
64,5,32768,400000,37.34
64,5,65536,400000,37.77
64,5,130672,400000,37.73
64,5,261344,400000,37.72
64,5,256,500000,41.19
64,5,1024,500000,39.85
64,5,4096,500000,38.66
64,5,16384,500000,38.22
64,5,32768,500000,37.91
64,5,65536,500000,38.32
64,5,130672,500000,38.03
64,5,261344,500000,38.11
128,1,256,1000,24.29
128,1,1024,1000,22.63
128,1,4096,1000,24.15
128,1,16384,1000,72.53
128,1,32768,1000,573.6097238
128,1,65536,1000,2040.771765
128,1,130672,1000,8732.16
128,1,261344,1000,1807.221622
128,1,256,10000,23.15
128,1,1024,10000,22.04
128,1,4096,10000,21.9
128,1,16384,10000,25.43
128,1,32768,10000,34.81
128,1,65536,10000,83.12
128,1,130672,10000,26.95
128,1,261344,10000,899.4427586
128,1,256,100000,33.82
128,1,1024,100000,27.44
128,1,4096,100000,24.33
128,1,16384,100000,24.41
128,1,32768,100000,27.77
128,1,65536,100000,42.49
128,1,130672,100000,91.34
128,1,261344,100000,92.77
128,1,256,200000,48.7
128,1,1024,200000,41.1
128,1,4096,200000,39.44
128,1,16384,200000,41.12
128,1,32768,200000,45.25
128,1,65536,200000,56.16
128,1,130672,200000,61.52
128,1,261344,200000,55.98
128,1,256,300000,66.39
128,1,1024,300000,59.6
128,1,4096,300000,57.87
128,1,16384,300000,59.41
128,1,32768,300000,63.37
128,1,65536,300000,73.08
128,1,130672,300000,68.47
128,1,261344,300000,72.78
128,1,256,400000,82.58
128,1,1024,400000,74.84
128,1,4096,400000,73.5
128,1,16384,400000,74.87
128,1,32768,400000,77.7
128,1,65536,400000,79.33
128,1,130672,400000,80.27
128,1,261344,400000,80.25
128,1,256,500000,99.12
128,1,1024,500000,92.61
128,1,4096,500000,91.54
128,1,16384,500000,92.62
128,1,32768,500000,95.08
128,1,65536,500000,96.76
128,1,130672,500000,97.15
128,1,261344,500000,99.46
128,2,256,1000,23.68
128,2,1024,1000,22.75
128,2,4096,1000,22.49
128,2,16384,1000,21.9
128,2,32768,1000,23.65
128,2,65536,1000,32.11
128,2,130672,1000,131.8144
128,2,261344,1000,9912.32
128,2,256,10000,22.57
128,2,1024,10000,22.4
128,2,4096,10000,21.49
128,2,16384,10000,22.23
128,2,32768,10000,21.28
128,2,65536,10000,21.79
128,2,130672,10000,21.24
128,2,261344,10000,19.15
128,2,256,100000,24.96
128,2,1024,100000,23.08
128,2,4096,100000,22.46
128,2,16384,100000,22.51
128,2,32768,100000,20.5
128,2,65536,100000,16.91
128,2,130672,100000,17.25
128,2,261344,100000,16.68
128,2,256,200000,31.26
128,2,1024,200000,24.02
128,2,4096,200000,23.19
128,2,16384,200000,21.76
128,2,32768,200000,20.17
128,2,65536,200000,20.05
128,2,130672,200000,20.2
128,2,261344,200000,21.01
128,2,256,300000,39.66
128,2,1024,300000,32.25
128,2,4096,300000,29.78
128,2,16384,300000,29.77
128,2,32768,300000,30.3
128,2,65536,300000,30.56
128,2,130672,300000,34.48
128,2,261344,300000,31.18
128,2,256,400000,46.02
